  1  1  1  1  5  9 41 57 58 59
  1  1  2  1  6 42 60
  1  1  3  1  7 43 61
  1  1  4  1  8 10 44 62 63 64
  1  2  1  2  5 45 65
  1  2  2  2  6  9 46
  1  2  3  2  7 10 47
  1  2  4  2  8 48 66
  1  3  1  3  5 49 67
  1  3  2  3  6 10 50
  1  3  3  3  7  9 51
  1  3  4  3  8 52 68
  1  4  1  4  5 10 53 69 70 71
  1  4  2  4  6 54 72
  1  4  3  4  7 55 73
  1  4  4  4  8  9 56 74 75 76
  2  1  1 11 15 19 41
  2  1  2 11 16 42 57
  2  1  3 11 17 43 62
  2  1  4 11 18 20 44
  2  2  1 12 15 45 59
  2  2  2 12 16 19 46 58 60 65
  2  2  3 12 17 20 47 61 63 66
  2  2  4 12 18 48 64
  2  3  1 13 15 49 69
  2  3  2 13 16 20 50 67 70 72
  2  3  3 13 17 19 51 68 73 75
  2  3  4 13 18 52 74
  2  4  1 14 15 20 53
  2  4  2 14 16 54 71
  2  4  3 14 17 55 76
  2  4  4 14 18 19 56
  3  1  1 21 25 29 41
  3  1  2 21 26 42 62
  3  1  3 21 27 43 57
  3  1  4 21 28 30 44
  3  2  1 22 25 45 69
  3  2  2 22 26 29 46 66 72 75
  3  2  3 22 27 30 47 65 70 73
  3  2  4 22 28 48 74
  3  3  1 23 25 49 59
  3  3  2 23 26 30 50 60 63 68
  3  3  3 23 27 29 51 58 61 67
  3  3  4 23 28 52 64
  3  4  1 24 25 30 53
  3  4  2 24 26 54 76
  3  4  3 24 27 55 71
  3  4  4 24 28 29 56
  4  1  1 31 35 39 41 62 69 75
  4  1  2 31 36 42 72
  4  1  3 31 37 43 73
  4  1  4 31 38 40 44 57 70 74
  4  2  1 32 35 45 66
  4  2  2 32 36 39 46
  4  2  3 32 37 40 47
  4  2  4 32 38 48 65
  4  3  1 33 35 49 68
  4  3  2 33 36 40 50
  4  3  3 33 37 39 51
  4  3  4 33 38 52 67
  4  4  1 34 35 40 53 59 63 76
  4  4  2 34 36 54 60
  4  4  3 34 37 55 61
  4  4  4 34 38 39 56 58 64 71
